;;Datos diarios;;;;;
;;Datos globales y por país;;;;;
PHYSICAL CLOSENES - campo de fuerzas exterior / por pais y a lo largo del tiempo - CUANTITATIVO;;;;;;;TAREAS
CONDICIONES INICIALES ;;;;;;;
;;Density of population;https://ourworldindata.org/grapher/population-density;Our world in data;;Density of population 2017;
;;Density of population;https://databank.worldbank.org/reports.aspx?source=2&series=EN.POP.DNST&country=;world bank;;Density of population 2019;
;;Population and world share;https://www.worldometers.info/geography/how-many-countries-are-there-in-the-world/;;;;
;;Household Size and Composition 2018;https://population.un.org/Household/index.html#/countries/840;enlace roto;;Household Size and Composition 2018;
;;Rooms per person (OECD solo);https://stats.oecd.org/Index.aspx?DataSetCode=BLI#;;;Rooms per person (OECD solo);Buscar una BBDD de  individuos prmedio por familia 
;;;;;;;
;;;;;;;
Indicadores de closeness fisicas COVID;;;;;;;
;;Oxford COVID-19 Government Response Tracker (OxCGRT);;Blavatnik School of Government, University of Oxford;Containment and closure;C1 School closing ;
;;;paper calculos;https://www.bsg.ox.ac.uk/sites/default/files/Calculation%20and%20presentation%20of%20the%20Stringency%20Index.pdf;;C2 Workplace closing;
;;;github;https://github.com/OxCGRT/covid-policy-tracker/blob/master/documentation/codebook.md;;C3 Cancel public events;
;;;;;;C4 Restrictions on gathering size ;
;;;;;;C5 Close public transport;
;;;;;;C6 Stay at home requirements ;
;;;;;;C7 Restrictions on internal movement ;
;;;;;;C8 Restrictions on international travel;
;;;;;Economic response;E1 income support;
;;;;;;E2 debt/contract relief for households ;
;;;;;;E3 fiscal measures ;
;;;;;;E4 giving international support;
;;;;;Heatlh systems;H1 Public information campaign ;
;;;;;;H2 testing policy ;
;;;;;;H3 contact tracing ;
;;;;;;H4 emergency investment in healthcare;
;;;;;;H5 investment in Covid-19 vaccines ;
Indicadores closeness informacion/digital;;;;;;;
;;Use of tracking apps ;MIT Tech Review;;;;
;;;paper;https://www.technologyreview.com/2020/05/07/1000961/launching-mittr-covid-tracing-tracker/;;;sacar 1 unico indice
;;;excel;https://docs.google.com/spreadsheets/d/1ATalASO8KtZMx__zJREoOvFh0nmB-sAqJ1-CjVRSCOw/edit#gid=0;;;
;;Civil rights ***;https://pandemicbigbrother.online/en/;;;;
;;;;;;;
;;Internet shud downs;;;;;
;;Numbers of communication online services (meet, skype, hagouts, etc.);;;;;
;;real time data of emails, tweets, searches etc...;;https://www.worldometers.info/;;;de pago y no se como llegar al csv
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
EMOTIONAL CLOSENES - campo de fuerzas interior - cómo se comportan nuestras partículas (TIES) - CUALITATIVOS;;;;;;;
;;Most popular social networks worldwide as of April 2020, ranked by number of active users;https://www.statista.com/statistics/272014/global-social-networks-ranked-by-number-of-users/;;;;encontrar una BBDD
;;Global digital population (April 2020);https://www.statista.com/statistics/617136/digital-population-worldwide/;;;;
Conectedness;Tipo de red;;;;;;
;Instagram;Countries with the highest Instagram audience reach as of April 2020;https://www.statista.com/statistics/325567/instagram-penetration-regions/;;;;
;;;https://www.globalwebindex.com/hubfs/1.%20Coronavirus%20Research%20PDFs/GWI%20coronavirus%20findings%20April%202020%20-%20Media%20Consumption%20(Release%204).pdf;;;;
;;Overview about global digital usage (Jan 2020);https://datareportal.com/reports/digital-2020-global-digital-overview?utm_source=Reports&utm_medium=PDF&utm_campaign=Digital_2020&utm_content=Dual_Report_Promo_Slide;;;;
;;Report about global digital usage (Jan 2020);https://datareportal.com/reports/digital-2020-global-digital-yearbook?utm_source=Reports&utm_medium=PDF&utm_campaign=Digital_2020&utm_content=Dual_Report_Promo_Slide;;;;
;;Report about global digital usage changes because of corona (april 2020);https://datareportal.com/reports/digital-2020-april-global-statshot;;;;
SOCIAL MEDIA;Tipo de red;;;;;;
Twitter;Contenido;"50 most used # per day
Trending topics diarios";Full Archive Search API;;;;
Facebook;Contenido;;;;;;investigar viralidad en facebook
YouTube;Vídeo;??;;;;;
Whatsapp;Mensajería;Viralidad?;;;;;
Facebook Messenger;Mensajería;Viralidad?;;;;;
Weixin/WeiChat;Mensajería;Viralidad?;;;;;
Instagram;Contenido;50 most used # per day Instagram;;;;;
;;;;;;;
;;;;;;;
EVENTOS;;;;;;;
Reactions to 2020s events;Wikipedia;;https://en.wikipedia.org/wiki/Category:Reactions_to_2020s_events;;;;
2020 riots;Wikipedia;;https://en.wikipedia.org/wiki/Category:2020_riots;;;;
Events 2020 ;;;https://en.wikipedia.org/wiki/2020;;;;
